VC Name,VC Location,Snippet,Short Description,Crunchbase URL,Investment 3 Funding Round Type,Investment 3 Round Type,Investment 3 Company Invested Into,Investment 3 Announcement Date,Investment 3 Value,Investment 3 Type,Investment 2 Funding Round Type,Investment 2 Round Type,Investment 2 Company Invested Into,Investment 2 Announcement Date,Investment 2 Value,Investment 2 Type,Investment 1 Funding Round Type,Investment 1 Round Type,Investment 1 Company Invested into,Investment 1 Announcement Date,Investment 1 Value,Investment 1 Type,Full Description,Normalize a Domain,Growth Score,Clearbit Logo URL
Alabama Launchpad,Birmingham,"Domestique Coffee is located in Birmingham, Alabama, United States . Who invested in Domestique Coffee ? Domestique Coffee is funded by Alabama Launchpad .",Domestique Coffee - Crunchbase Company Profile & Funding,https://www.crunchbase.com/organization/domestique,,,,,,,,,,,,,,,,,,,"Domestique Coffee is a coffee importer and expert roaster that is dedicated to sourcing sustainably-grown coffees and ensuring a fair-wage supply chain from production to distribution. They use a fluid-bed roaster, which maintains the integrity and nuanced flavor of the beans, and aim to produce the best nitro cold brew, and whole-bean coffee.",domestiquecoffee.com,67,https://logo.clearbit.com/domestiquecoffee.com
Intermountain Ventures,Salt Lake City,"Intermountain Ventures is the strategic investment arm of Intermountain Healthcare. It focuses on new ventures, strategic investing, and strategic partnerships.",Intermountain Ventures - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/intermountain-ventures,Seed Round - Qualified Health,funding_round,Qualified Health,2025-01-08,Intermountain Ventures investment in Seed Round - Qualified Health,investment,Series B - Vori Health,funding_round,Vori Health,2025-03-11,Intermountain Ventures investment in Series B - Vori Health,investment,Series A - Matterworks,funding_round,Matterworks,2025-06-03,Intermountain Ventures investment in Series A - Matterworks,investment,"Intermountain Ventures is the strategic investment arm of Intermountain Healthcare. It focuses on new ventures, strategic investing, and strategic partnerships. It partners with early- and growth-stage companies, corporations, venture capital/private equity firms, technology organizations, and mission-based organizations that are leading the charge to improve health.

It was founded in 2019 and is based in Salt Lake City, Utah.",intermountainhealthcare.org/about/transforming-healthcare/innovation/business-development/ventures,81,https://logo.clearbit.com/intermountainhealthcare.org
8090 Partners,New York,8090 Partners is a private partnership of industry-leading families and entrepreneurs focused on direct and opportunistic investments.,8090 Partners - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/8090-partners,Series A - Luminous Computing,funding_round,Luminous Computing,2022-03-03,8090 Partners investment in Series A - Luminous Computing,investment,Series B - Circ,funding_round,Circ,2022-07-12,8090 Partners investment in Series B - Circ,investment,Venture Round - Cera,funding_round,Cera,2022-08-03,8090 Partners investment in Venture Round - Cera,investment,"Backed by several multi-billion dollar family offices, 8090 Partners is a private partnership of industry-leading families and entrepreneurs focused on direct investments and other opportunistic transactions. 8090's flexible mandate and long-term horizon amplify and complement our partners' single family office investments.",8090partners.com,5,https://logo.clearbit.com/8090partners.com
Newlin,Chicago,"Newlin is a venture capital and private equity firm that connects founders to capital turning ideas to fundable businesses. Chicago, Illinois, United States ...",Newlin - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/newlin,Pre Seed Round - Taxo,funding_round,Taxo,2024-03-26,Newlin investment in Pre Seed Round - Taxo,investment,Seed Round - KredFeed,funding_round,KredFeed,2024-08-15,Newlin investment in Seed Round - KredFeed,investment,Seed Round - Kigüi,funding_round,Kigüi,2024-12-23,Newlin investment in Seed Round - Kigüi,investment,Newlin is a venture capital and private equity firm that connects founders to capital turning ideas to fundable businesses. It provides a critical linkage for founders to early-stage financing as well as consulting services.,newlin.vc,43,https://logo.clearbit.com/newlin.vc
The Craftory,London,The Craftory is an investment fund that focuses on cause-driven CPG brands. They offer permanent early stage and growth capital to consumer brands.,The Craftory - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/the-craftory,Series C - Edgard & Cooper,funding_round,Edgard & Cooper,2023-01-23,The Craftory investment in Series C - Edgard & Cooper,investment,Venture Round - AllPlants,funding_round,AllPlants,2023-05-01,The Craftory investment in Venture Round - AllPlants,investment,Series A - Needed,funding_round,Needed,2023-11-07,The Craftory investment in Series A - Needed,investment,"The Craftory is an investment fund that focuses on cause-driven CPG brands. They offer permanent early stage and growth capital to consumer brands.

It was founded in 2018 and headquartered in London, England.",thecraftory.io,14,https://logo.clearbit.com/thecraftory.io
Modular Capital,San Francisco,Modular Capital is a crypto investment firm with a fundamental and thesis-driven approach. Founded in 2022 by James Ho and Vincent Jow.,Modular Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/modular-capital,Seed Round - ChainOpera AI,funding_round,ChainOpera AI,2024-12-26,Modular Capital investment in Seed Round - ChainOpera AI,investment,Seed Round - Primus,funding_round,Primus,2025-01-13,Modular Capital investment in Seed Round - Primus,investment,Seed Round - Primus Labs,funding_round,Primus Labs,2025-02-20,Modular Capital investment in Seed Round - Primus Labs,investment,"Modular Capital is a crypto investment firm with a fundamental and thesis-driven approach. 

Founded in 2022 by James Ho and Vincent Jow, Modular has its headquarters in San Francisco, United States.",modularcapital.xyz,84,https://logo.clearbit.com/modularcapital.xyz
Walter Kortschak,Aspen,"Early stage VC focusing on data-driven companies in the SaaS, cloud, new finance, security and mobile sectors. Aspen, Colorado, United States ... Walter Kortschak ...",Kortschak Investments L.P. - Crunchbase,https://www.crunchbase.com/organization/kortschak-investments-l-p,Series A - Toku,funding_round,Toku,2024-05-28,Kortschak Investments L.P. investment in Series A - Toku,investment,Venture Round - Alix,funding_round,Alix,2024-07-16,Kortschak Investments L.P. investment in Venture Round - Alix,investment,Pre Seed Round - Keeper,funding_round,Keeper,2024-10-01,Kortschak Investments L.P. investment in Pre Seed Round - Keeper,investment,"We invest in smart people solving hard problems, often difficult scientific or engineering problems. Importantly, we believe the brightest and most creative problem solvers seek the hardest and most interesting problems, and gathering the best technical talent is a major competitive advantage. 

Advances in cloud and other computing technologies radically reduce the costs of starting and running new businesses, creating opportunities for outsized returns. We invest in teams we believe in and our experience suggests that finding good founding teams and leaving them in place tends to produce higher returns overall. 

As a corollary, we resist shackling a company to its original business model. Businesses really do evolve over time and changing models in the early years is anything but a sign of weakness. We do not expect that the first business model for a company will be the final or best business model and do not see evolution as a negative. The most powerful minds are the ones that can be changed. 

We believe that substantially all of our investments should be directed to companies with an audacious vision seeking enormous markets. So, we will continue to invest in very talented entrepreneurs who are pursuing ambitious, challenging tasks. We will treat them with respect and hope for the best.",kortschak.com,40,https://logo.clearbit.com/kortschak.com
irrvntVC,New York,"irrvrnt is an early-stage fund investing $300k - $500k into early-stage startups in DTC, AdTech, and NextGen Commerce. New York, New York, United States ...",irrvntVC - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/irrvntvc,Seed Round - Skipti,funding_round,Skipti,2023-01-01,irrvntVC investment in Seed Round - Skipti,investment,Seed Round - SparkLayer B2B eCommerce,funding_round,SparkLayer B2B eCommerce,2023-04-19,irrvntVC investment in Seed Round - SparkLayer B2B eCommerce,investment,Seed Round - Monocle,funding_round,Monocle,2024-05-02,irrvntVC investment in Seed Round - Monocle,investment,irrvntVC operates as a venture capital firm.,irrvrnt.com,21,https://logo.clearbit.com/irrvrnt.com
Cameron Ventures,Oklahoma City,"Cameron Ventures invests in seed to early-stage companies within InsurTech, Financial Services, and Software industries, focusing on the United States, ...",Cameron Ventures - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/cameron-ventures,Series A - NewRetirement,funding_round,NewRetirement,2024-03-27,Cameron Ventures investment in Series A - NewRetirement,investment,Venture Round - Alix,funding_round,Alix,2024-07-16,Cameron Ventures investment in Venture Round - Alix,investment,Series A - Bland AI,funding_round,Bland AI,2024-08-28,Cameron Ventures investment in Series A - Bland AI,investment,"A Pre-seed to Series A fund focused on InsurTech, FinTech and Enterprise Applications",cameronvc.com,51,https://logo.clearbit.com/cameronvc.com
Andy Palmer,Boston,"Andy Palmer is the Co-Founder and Chairperson of DBOS, Inc. He previously worked at Kinsa as a Seed Investor. Andy Palmer attended Massachusetts Institute ...","Andy Palmer - Co-Founder and Chairperson @ DBOS, Inc.",https://www.crunchbase.com/person/andy-palmer-2,,,,,,,,,,,,,,,,,,,,,84,
The Yard Ventures,Boston,"The Yard Ventures invests in seed to early-stage companies in software, wellness, and healthcare industries, focusing on the United States, particularly in ...",The Yard Ventures - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/the-yard-ventures,Seed Round - CHEQ,funding_round,CHEQ,2022-09-21,The Yard Ventures investment in Seed Round - CHEQ,investment,Venture Round - Hey Jane,funding_round,Hey Jane,2022-10-19,The Yard Ventures investment in Venture Round - Hey Jane,investment,Series A - Mindset Health,funding_round,Mindset Health,2023-03-21,The Yard Ventures investment in Series A - Mindset Health,investment,"The Yard Ventures is an investment firm with broad professional, investing, and entrepreneurial experience. It is part of the Alumni Ventures Group.",avgfunds.com/the-yard-ventures,8,https://logo.clearbit.com/avgfunds.com
Boro Capital,New York,"Boro Capital invests in seed to early-stage companies in AI, SaaS, and healthcare sectors, focusing on software and data analytics, primarily in New York, ...",Boro Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/boro-capital,Series A - DetraPel,funding_round,DetraPel,2023-09-11,Boro Capital investment in Series A - DetraPel,investment,Seed Round - Qortex,funding_round,Qortex,2023-11-20,Boro Capital investment in Seed Round - Qortex,investment,Seed Round - Elm AI (Formerly Esger),funding_round,Elm AI (Formerly Esger),2025-03-25,Boro Capital investment in Seed Round - Elm AI (Formerly Esger),investment,"Boro
Capital is a NYC based venture capital firm principally investing in tech and tech-enabled startups in their first round of institutional funding (pre Seed, Seed) Our deal pipeline originates from a unique set of sources including strategic relationships with NYC’s top startup accelerator programs and angel groups, which give us early access to some of the most promising startups.",borocapital.com,42,https://logo.clearbit.com/borocapital.com
KGC Capital,Chicago,"KGC Capital is a venture capital firm that specializes in seed and early-stage venture investments. It is headquartered in Chicago, Illinois. The firm was ...",KGC Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/kgc-capital,,,,,,,,,,,,,,,,,,,,,6,
Legal & General Capital,London,"Legal & General Capital invests in early to late-stage companies in renewable energy, energy, and manufacturing sectors, focusing on the United Kingdom.",Legal & General Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/legal-general-capital,Funding Round - Bruntwood SciTech,funding_round,Bruntwood SciTech,2023-10-16,Legal & General Capital investment in Funding Round - Bruntwood SciTech,investment,Series A - Advanced Electric Machines,funding_round,Advanced Electric Machines,2023-11-07,Legal & General Capital investment in Series A - Advanced Electric Machines,investment,Series B - PQShield,funding_round,PQShield,2024-06-20,Legal & General Capital investment in Series B - PQShield,investment,Legal & General Capital (LGC) is the early-stage investment arm of Legal & General Group.,legalandgeneralcapital.com,33,https://logo.clearbit.com/legalandgeneralcapital.com
Plassa Capital,Los Angeles,"Plassa Capital invests in seed to late-stage companies in cryptocurrency, blockchain, and IT sectors, with a focus on Europe and North America.",Plassa Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/plassa-capital,Seed Round - Blockless,funding_round,Blockless,2024-05-20,Plassa Capital investment in Seed Round - Blockless,investment,Pre Seed Round - Ordinox,funding_round,Ordinox,2024-06-21,Plassa Capital investment in Pre Seed Round - Ordinox,investment,Initial Coin Offering - Axelar Network,funding_round,Axelar Network,2025-03-11,Plassa Capital investment in Initial Coin Offering - Axelar Network,investment,Plassa Capital is an investor in early ventures powering the crypto universe.,plassa.capital,70,https://logo.clearbit.com/plassa.capital
Blank Slate Ventures,Chattanooga,Blank Slate Ventures is a seed fund designed specifically for pre-revenue startups in the Chattanooga region. They are looking to invest in teams of ...,Blank Slate Ventures - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/blank-slate-ventures,Seed Round - Escadrille,funding_round,Escadrille,2014-12-31,Blank Slate Ventures investment in Seed Round - Escadrille,investment,Pre Seed Round - Nilus,funding_round,Nilus,2020-03-01,Blank Slate Ventures investment in Pre Seed Round - Nilus,investment,Convertible Note - Nilus,funding_round,Nilus,2021-01-19,Blank Slate Ventures investment in Convertible Note - Nilus,investment,"Blank Slate Ventures is a seed fund designed specifically for pre-revenue startups in the Chattanooga region. They are looking to invest in teams of entrepreneurs who are building companies that have the potential to disrupt their respective industries.

In June 2011, Blank Slate Ventures Fund 1's first investment was made in Quickcue, LLC. They helped the founder take his idea ""off of a napkin"" and turn it into a real business. In December 2013, Quickcue was sold to OpenTable, Inc.",blankslateventures.com,11,https://logo.clearbit.com/blankslateventures.com
Voqal,Boulder,"Voqal is a philanthropic organization that is committed to the promotion of social, economic, and racial justice. Boulder, Colorado, United States · 11-50 ...",Voqal - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/voqal-education,Seed Round - ParentPowered,funding_round,ParentPowered,2019-07-09,Voqal investment in Seed Round - ParentPowered,investment,Series A - PAIRIN,funding_round,PAIRIN,2020-06-03,Voqal investment in Series A - PAIRIN,investment,Pre Seed Round - TechRow,funding_round,TechRow,2023-01-06,Voqal investment in Pre Seed Round - TechRow,investment,"Voqal is a national collaboration of EBS (Educational Broadband Service) licensees. We use our position as stewards of a public resource — EBS spectrum — to build an educated and engaged public.

Voqal makes grants and impact investments, expands internet access and digital equity, offers fellowships and work to protect the public airwaves. Our efforts focus on the education and enrichment of all, not just those who are well-off socially, economically and politically.",voqal.org,86,https://logo.clearbit.com/voqal.org
300 DAO,London,Dawn Capital is an early-stage venture fund that focuses on investing in the enterprise software and FinTech sectors. 300 DAO and Dawn Capital share similar ...,300 DAO - Crunchbase,https://www.crunchbase.com/organization/300-dao/org_similarity_overview,,,,,,,,,,,,,,,,,,,,,13,
Ecoast Angel Network,Portsmouth,"The eCoast Angel Network is a venture capital firm that specializes in investments in early stage companies. Portsmouth, New Hampshire, United States ...",Ecoast Angel Network - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/the-ecoast-angel-network,Series A - Platelet BioGenesis,funding_round,Platelet BioGenesis,2017-06-08,Ecoast Angel Network investment in Series A - Platelet BioGenesis,investment,Seed Round - Unruly Studios,funding_round,Unruly Studios,2019-05-21,Ecoast Angel Network investment in Seed Round - Unruly Studios,investment,Seed Round - Propensity,funding_round,Propensity,2020-03-06,Ecoast Angel Network investment in Seed Round - Propensity,investment,"The eCoast Angel Network is a venture capital firm specializing in investments in early stage companies. It seeks to invest in technology, communications, e-commerce, healthcare, and industrial products and services companies. 

The eCoast Angel Network primarily makes investments in the New Hampshire coastal region. It typically invests between $0.25 million and $2 million at pre money valuations of less than $5 million with little or no need for additional private equity financing. 

The eCoast Angel Network prefers to be the first professional investor into a deal. The firm seeks to exit its investment within five years. It began operation on July 1, 2000, with its headquartersin Portsmouth in New Hampshire.",ecoastangels.net,10,https://logo.clearbit.com/ecoastangels.net
Milliways Ventures,Palo Alto,"Founded in 2014, Milliways Ventures is a California-based investment firm that funds companies which develop innovative technologies.",Milliways Ventures - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/milliways-ventures,Series A - Motorq,funding_round,Motorq,2020-12-17,Milliways Ventures investment in Series A - Motorq,investment,Series B - MediBuddy,funding_round,MediBuddy,2021-02-02,Milliways Ventures investment in Series B - MediBuddy,investment,Series C - WorkSpan,funding_round,WorkSpan,2022-10-05,Milliways Ventures investment in Series C - WorkSpan,investment,"Milliways construct a stellar track record of both entrepreneurship as well as investment. They have created companies of over $1 Billion in value as well as were early investors in companies like Facebook, Lyft and Whisper.",milliwaysventures.com,6,https://logo.clearbit.com/milliwaysventures.com
Perkins Cove Partner,Boston,"Details · Headquarters Regions Greater Boston Area, East Coast, New England · Founded Date 2022 · Operating Status Active · Legal Name Perkins Cove Partners, LLC.",Perkins Cove Partner - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/perkins-cove-partner,Pre Seed Round - AskFora,funding_round,AskFora,2023-09-28,Perkins Cove Partner investment in Pre Seed Round - AskFora,investment,Seed Round - Lately,funding_round,Lately,2023-10-01,Perkins Cove Partner investment in Seed Round - Lately,investment,Venture Round - Nacelle,funding_round,Nacelle,2024-05-04,Perkins Cove Partner investment in Venture Round - Nacelle,investment,Perkins Cove Partner is a venture capital investment firm.,perkinscovepartners.com,15,https://logo.clearbit.com/perkinscovepartners.com
Noveus Capital,San Francisco,"Noveus Capital invests in seed to early-stage companies in software, biotechnology, and construction industries, with a focus on the United States and the ...",Noveus Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/noveus-capital,Seed Round - StowNest Storage,funding_round,StowNest Storage,2021-12-01,Noveus Capital investment in Seed Round - StowNest Storage,investment,Seed Round - Mootral,funding_round,Mootral,2022-01-01,Noveus Capital investment in Seed Round - Mootral,investment,Seed Round - Impossible Metals,funding_round,Impossible Metals,2022-06-21,Noveus Capital investment in Seed Round - Impossible Metals,investment,Noveus Capital is a venture capital firm.,noveus.vc,8,https://logo.clearbit.com/noveus.vc
WEPOWER,St Louis,"Wepower is a local nonprofit focused on developing equitable education, economic, health, and justice systems. St Louis, Missouri, United States · 1-10 ...",Wepower - Crunchbase Company Profile & Funding,https://www.crunchbase.com/organization/wepower-9927,,,,,,,,,,,,,,,,,,,"Wepower is a local nonprofit focused on developing equitable education, economic, health, and justice systems.",wepowerstl.org,7,https://logo.clearbit.com/wepowerstl.org
On Grid Ventures,New York,"New York, New York, United States · 1-10; Venture Capital; www.ongridventures.com ... View contacts for On Grid Ventures to access new leads and connect with ...",On Grid Ventures - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/ongrid-ventures,Seed Round - Tire Agent,funding_round,Tire Agent,2017-12-30,On Grid Ventures investment in Seed Round - Tire Agent,investment,Series A - With Clarity,funding_round,With Clarity,2018-10-02,On Grid Ventures investment in Series A - With Clarity,investment,Seed Round - CloudFrame,funding_round,CloudFrame,2019-05-29,On Grid Ventures investment in Seed Round - CloudFrame,investment,"The mission of On Grid Ventures LLC is to support the startup and success of GeoDisruptive businesses which leverage GeoLocation as a disruptive force in marketplaces and commerce, digital infrastructure, or information flow.

On Grid Ventures is focused on the global adoption of location-based technologies as a game changer across five investment areas.


1 GeoMarketplaces focused on a well-defined audience of buyers and sellers where location-based technology enables commerce spanning online and offline, such as Uber, AutoTrader, or Cups.

2 GeoMarketing  businesses where customer acquisition and retention is dependent on location, such as Yelp, OpenTable or AllTheRooms, both business-to-consumer and business-to-business

3 GeoSocial networks based around location and often other factors like interests, such as Foursquare or Tinder.

4 GeoInfrastructure businesses which facilitate the growth and maturation of location-based businesses, such as Yext, PlaceIQ, xAd, Gimbal, and SocialSign.in.

5 GeoInformation businesses which aggregate and assimilate content and data for a defined geographic area in innovative ways, such as Yelp and EnerKnol.",ongridventures.com,5,https://logo.clearbit.com/ongridventures.com
Fueled,New York,"Fueled is an full-service digital design, development, branding and strategy agency dedicated to entrepreneurs that offers an unparalleled suite of services ...",Fueled - Crunchbase Company Profile & Funding,https://www.crunchbase.com/organization/fueled,Series A - Jackpocket,funding_round,Jackpocket,2016-08-16,Fueled investment in Series A - Jackpocket,investment,"Venture Round - MOSCASE, Inc",funding_round,"MOSCASE, Inc",2017-10-15,"Fueled investment in Venture Round - MOSCASE, Inc",investment,Venture Round - Coinbase,funding_round,Coinbase,2020-07-15,Fueled investment in Venture Round - Coinbase,investment,"Fueled is an full-service digital design, development, branding and strategy agency dedicated to entrepreneurs that offers an unparalleled suite of services for startups of all sizes.

Mobile Product Design - Fueled was founded with the single-minded vision of putting together an all-star team that could take a project from ideation through launch, with the agility and expertise of a top startup rather than the arthritic, fluff-ridden tendencies of a typical agency or dev shop. 

iOS, Android, Web & Backend Development - Our software engineers are industry veterans. They leverage enterprise-class code quality with Agile and Lean methodologies to quickly and efficiently bring products to life. We emphasize scalability and extensibility so your product can grow with your users. 

Growth & Marketing - Our analytics and conversion optimization experts can help you optimize your app's analytics suite, manage AB testing regimes, and manage digital marketing campaigns. 

Fueled Ventures - Fueled clients go on to raise millions in funding and have been acquired in massive exits. That's why we offer select startup clients the opportunity to make their development budgets go much further through an investment from Fueled Ventures, our independent venture fund. But even better than an early infusion of cash is the fact that we vest all of our agency employees into our fund. Our team is your team. 

Fueled Collective - The most valuable asset a startup can leverage is other startups. That's why we created the Fueled Collective, a one-of-a-kind coworking space that is home to more than 40 startups in addition to Fueled's New York staff. By surrounding ourselves with entrepreneurs from every industry imaginable, no business or technical challenge remains unconquered for long.",fueled.com,89,https://logo.clearbit.com/fueled.com
Stanford Angels of the United Kingdom,London,"Stanford Angels of the United Kingdom invests in seed to early-stage companies in AI, software, and analytics industries, focusing on the UK and US markets.",Stanford Angels of the United Kingdom - Crunchbase,https://www.crunchbase.com/organization/stanford-angels-of-the-united-kingdom,Seed Round - Shellworks,funding_round,Shellworks,2022-05-05,Stanford Angels of the United Kingdom investment in Seed Round - Shellworks,investment,Seed Round - Aibuild,funding_round,Aibuild,2022-06-09,Stanford Angels of the United Kingdom investment in Seed Round - Aibuild,investment,Seed Round - Medwise.ai,funding_round,Medwise.ai,2023-03-23,Stanford Angels of the United Kingdom investment in Seed Round - Medwise.ai,investment,Stanford Angels of the United Kingdom is a Stanford University alumni group provides investments in early-stage and growth ventures.,stanfordangels.uk,6,https://logo.clearbit.com/stanfordangels.uk
Gordon Brothers,Boston,"Gordon Brothers offers funding and advisory services to retail, consumer products, industrial, and real estate companies. Boston, Massachusetts, United States ...",Gordon Brothers - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/gordon-brothers-group,Debt Financing - Middle West Partners,funding_round,Middle West Partners,2025-04-09,Gordon Brothers investment in Debt Financing - Middle West Partners,investment,Debt Financing - Carroll Fulmer,funding_round,Carroll Fulmer,2025-05-15,Gordon Brothers investment in Debt Financing - Carroll Fulmer,investment,Debt Financing - Linen Chest,funding_round,Linen Chest,2025-06-02,Gordon Brothers investment in Debt Financing - Linen Chest,investment,"Gordon Brothers is a global advisory, restructuring and investment firm specializing in the retail, consumer products, industrial and real estate sectors. Gordon Brothers Group maximizes value for both healthy and distressed companies by purchasing or selling all categories of assets, mitigating leases, appraising assets and operating businesses for extended periods. Gordon Brothers Group conducts over $70 billion worth of transactions and appraisals annually. As of November 2014, debt financing is provided by Gordon Brothers Finance Company.",gordonbrothers.com,81,https://logo.clearbit.com/gordonbrothers.com
Mysten Labs,Palo Alto,"Mysten Labs develops tools that make web3 secure, reliable, and ready for mass adoption. Palo Alto, California, United States · 11-50; Micro VC; www.mystenlabs.",Mysten Labs - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/mysten-labs,Seed Round - Shinami,funding_round,Shinami,2024-11-20,Mysten Labs investment in Seed Round - Shinami,investment,Seed Round - EarnOS,funding_round,EarnOS,2025-01-16,Mysten Labs investment in Seed Round - EarnOS,investment,Series A - FanTV AI,funding_round,FanTV AI,2025-02-27,Mysten Labs investment in Series A - FanTV AI,investment,Mysten Labs develops tools that make web3 secure and ready for mass adoption. They create foundational infrastructure to accelerate the adoption of web3.,mystenlabs.com,88,https://logo.clearbit.com/mystenlabs.com
LEAP Global Partners,San Francisco,"LEAP Global Partners invests in seed to early-stage companies in FinTech, financial services, and software industries, focusing on North America.",LEAP Global Partners - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/leap-global-partners,Series A - Leal,funding_round,Leal,2024-01-30,LEAP Global Partners investment in Series A - Leal,investment,Series A - Worky,funding_round,Worky,2024-05-14,LEAP Global Partners investment in Series A - Worky,investment,Series C - Finix,funding_round,Finix,2024-10-24,LEAP Global Partners investment in Series C - Finix,investment,"We invest, support, and commit to the long-term success of dynamic founders boldly redefining the future of financial services and the data economy",leapglobalpartners.com,32,https://logo.clearbit.com/leapglobalpartners.com
US Innovative Technology Fund,Pittsburgh,US Innovative Technology Fund is an investment firm that supports early- and growth-stage technology companies developing commercial and defense applications.,US Innovative Technology Fund - Crunchbase,https://www.crunchbase.com/organization/us-innovative-technology-fund,Series F - Shield AI,funding_round,Shield AI,2025-03-06,US Innovative Technology Fund investment in Series F - Shield AI,investment,Series B - Ditto,funding_round,Ditto,2025-03-12,US Innovative Technology Fund investment in Series B - Ditto,investment,Series D - Gecko Robotics,funding_round,Gecko Robotics,2025-06-12,US Innovative Technology Fund investment in Series D - Gecko Robotics,investment,"US Innovative Technology Fund is an investment firm that supports early- and growth-stage technology companies developing commercial and defense applications. The firm focuses on sectors such as defense technology, artificial intelligence, logistics, space, biotech, and next-generation computing.",usitfund.com,70,https://logo.clearbit.com/usitfund.com
Decisive Point,Beacon,"Decisive Point is a venture capital firm focused on technology for government, national security, and defense. Beacon, New York, United States · 11-50; Venture ...",Decisive Point - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/decisive-point-8d94,Seed Round - Scout AI,funding_round,Scout AI,2025-04-16,Decisive Point investment in Seed Round - Scout AI,investment,Seed Round - UNION,funding_round,UNION,2025-04-30,Decisive Point investment in Seed Round - UNION,investment,Venture Round - Standard Nuclear,funding_round,Standard Nuclear,2025-06-11,Decisive Point investment in Venture Round - Standard Nuclear,investment,"Decisive Point is a venture capital firm focused on technology for government, public safety, and defense. It's mission is to support founders with the guts to try; the ones who look at challenges facing the country and our communities and see problems worth solving. We support our clients as they navigate the federal market and invest in those that deliver solutions to both commercial customers and the nation.",decisivepoint.com,90,https://logo.clearbit.com/decisivepoint.com
Behind Genius,La Jolla,"Behind Genius Ventures invests in technical storytellers at their earliest chapters. La Jolla, California, United States · 1-10; Venture Capital; Early Stage ...",Behind Genius - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/lvlup-ventures,Pre Seed Round - MoldCo,funding_round,MoldCo,2024-12-10,Behind Genius investment in Pre Seed Round - MoldCo,investment,Seed Round - Maneva,funding_round,Maneva,2025-03-05,Behind Genius investment in Seed Round - Maneva,investment,Seed Round - Hostie,funding_round,Hostie,2025-04-29,Behind Genius investment in Seed Round - Hostie,investment,Behind Genius Ventures invests in the best technical storytellers at their earliest chapters.,behindgeniusventures.com,51,https://logo.clearbit.com/behindgeniusventures.com
PsyMed Ventures,San Francisco,Psymed Ventures is an investment syndicate that invests in early-stage psychedelics companies. The firm was founded in 2020 by Matias Serebrinsky and Dina ...,PsyMed Ventures - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/psychedelic-medicine-syndicate,Venture Round - Ancilia Biosciences,funding_round,Ancilia Biosciences,2024-07-17,PsyMed Ventures investment in Venture Round - Ancilia Biosciences,investment,Pre Seed Round - Neurode,funding_round,Neurode,2024-09-13,PsyMed Ventures investment in Pre Seed Round - Neurode,investment,Pre Seed Round - Jimini Health,funding_round,Jimini Health,2024-11-19,PsyMed Ventures investment in Pre Seed Round - Jimini Health,investment,"Psymed Ventures is an investment syndicate that invests in early-stage psychedelics companies. The firm was founded in 2020 by Matias Serebrinsky and Dina Burkitbayeva and is headquartered in San Francisco, California, United States.",psymed.ventures,49,https://logo.clearbit.com/psymed.ventures
Apposite Capital,London,"Apposite Capital is a London-based investment firm focused on healthcare services and life sciences companies. London, England, United Kingdom · 11-50; Venture ...",Apposite Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/apposite-capital,,,,,,,,,,,,,,,,,,,,,77,
Crescent Cove Advisors,San Francisco,"Crescent Cove Advisors invests in early to late-stage companies in software, AI, and hardware industries, focusing on the United States, particularly in San ...",Crescent Cove Advisors - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/crescent-cove-advisors,Series B - TEKEVER,funding_round,TEKEVER,2024-11-20,Crescent Cove Advisors investment in Series B - TEKEVER,investment,Series D - Lambda,funding_round,Lambda,2025-02-19,Crescent Cove Advisors investment in Series D - Lambda,investment,Venture Round - TEKEVER,funding_round,TEKEVER,2025-05-06,Crescent Cove Advisors investment in Venture Round - TEKEVER,investment,Crescent Cove Advisors is an investment firm.,crescentcove.com,54,https://logo.clearbit.com/crescentcove.com
